year,tea,sugar,peanuts,coffee,cocoa,wheat,rye,rice,corn,barley,pork,beef,lamb
1911,71.77588662,94.31517087,119.7436167,144.669393,62.07984127,123.0283791,142.1877201,122.6855539,136.4406846,179.1530945,116.1886471,87.77890185,82.39018017
1912,71.19501322,79.86167969,122.9100892,153.7460743,64.4364021,128.1198072,109.41139,138.6840111,156.7124202,108.2978723,129.4288174,86.30019606,86.59574468
1913,70.56808317,58.42424299,123.0846774,112.6859244,70.15680605,113.9470948,100.5314371,106.3181971,138.3035708,109.375,138.2153179,83.3447099,89.10310734
1914,69.91265205,78.36251299,113.8120443,82.58191696,62.00349169,120.7273952,136.150403,99.2621787,153.3744997,110.629515,136.7234816,80.85038937,91.12312186
1915,67.30607575,97.74679788,110.5318938,75.93068608,83.08030593,154.8833064,139.454971,100.0224898,159.2075305,106.7761807,115.9392767,171.9947299,106.4137925
1916,61.61289265,118.1324998,118.4574339,86.83455903,64.66065074,149.1298545,171.0263683,84.50992771,165.8797862,151.1278195,144.921242,171.5459724,101.1520741
1917,65.19884203,103.6535449,143.3747672,71.14169238,42.33204693,212.6365605,219.2526024,60.52768763,274.2233362,191.8876755,197.2997136,141.7250137,92.64147496
1918,64.93295448,80.97961473,113.3316198,64.13835063,41.5056116,169.8894236,160.7488874,58.67434191,226.3286692,126.2948207,187.8153228,162.1513944,99.86561448
1919,54.25212807,84.12799663,142.6738766,102.1463933,52.09106875,167.8215028,136.17851,54.86682051,197.9327102,143.3526012,167.8098166,175.0399495,104.2990467
1920,37.52496601,171.519119,61.58328504,59.29334559,32.88077981,146.8051367,118.3700463,55.72749368,152.7786386,84.73053892,108.9159748,97.734565,69.68808812
1921,36.47850495,49.81271535,55.74337719,39.79972316,21.11405048,95.40443144,75.70066571,71.42854199,69.38402686,53.51955307,71.82849946,84.43114001,59.01475997
1922,54.56322602,48.02427181,84.55190721,60.92970541,26.57988443,93.54422282,60.746485560000004,84.32678091,78.538716,59.5110316,84.62069275,53.50892724,33.21575463
1923,68.5660487,84.75579261,98.44851371,66.67047951,21.57324769,78.93992558,55.20534795,78.65435993,101.9310036,63.97188049,68.10710452,56.96279724,51.39539679
1924,69.97397111,64.25383535,89.06244105,97.48248697,21.53539989,98.45978808,89.78884337,85.38987082,119.2764572,86.78362573,77.13858828,57.02532782,64.33512896
1925,67.83797746,36.7532128,64.40939955,114.9522034,26.2589374,116.610638,71.83009907,83.95397284,125.1851231,70.05134056,105.7913225,70.20670562,73.53807289
1926,72.47608014,36.07598096,74.17532349,101.7308847,31.47914279,105.1862883,75.72989614,89.40642859,89.87689788,65.42372881,104.7676525,66.23628546,48.21733253
1927,72.7470736,43.71518427,78.60790759,103.3310361,44.07421834,92.54269416,77.07509563,84.38772897,105.66701,79.33218192,88.26849637,60.93712238,51.42397897
1928,64.90605703,36.60492834,75.11063405,133.3026652,36.20467983,107.8477282,77.39617088,77.41683914,121.2669441,66.31640397,85.84021831,76.22497305,63.9901887
1929,63.22897625,28.88076874,56.71619306,129.4077859,29.41927494,89.06243181,81.28494907,77.26867494,115.9470383,62.93053123,91.5299384,80.76603528,58.76412973
1930,60.54600695,21.18441634,55.03187174,77.27200708,23.79124758,67.94670113,43.19695937,62.44204928,104.4250417,48.50299401,85.39398824,74.86051787,53.96359644
1931,49.7029461,20.96339012,27.5856226,56.52479766,16.54174835,51.45311018,36.37819568,38.41359428,72.26283872,43.07288247,59.5553888,136.810095,99.27338804
1932,33.00985637,14.95047592,28.83389222,77.4779312,15.60660069,47.70554814,33.30381696,37.66281288,47.50252696,32.35724744,40.7633298,110.8415493,84.90573197
1933,52.32940698,21.52790332,56.7303863,70.12167171,16.44954981,69.63457588,78.60482738,33.73919936,65.40788443,66.97530864,44.92555382,109.1112586,101.771853
1934,68.48187115,25.56215926,64.71367655,82.20182836,18.81484895,83.72958119,87.36522474,42.48019432,103.1347204,102.4645258,55.36004598,85.27427376,103.70364
1935,63.01092514,33.09954582,59.28623452,63.86042236,17.6434568,86.04992999,47.09764739,54.11551467,125.9328876,55.20757465,106.3627359,88.42349654,166.1927352
1936,64.28039909,35.90166286,70.09728623,67.5033632,23.77421906,94.99479142,95.18740297,52.62785512,128.3347093,112.8427128,110.2245291,90.19990249,188.8912384
1937,71.59923284,35.25278614,60.34234882,75.88776299,28.34261838,98.6879608,77.61691102,53.85234408,152.6162834,75.48746518,111.5730226,124.204512,201.0166946
1938,68.36525931,29.59939236,61.49866068,54.05825832,17.8801155,65.59291882,44.74117769,50.36070714,83.08109036,52.23562811,89.14266491,111.9938378,177.0539819
1939,60.28846065,31.26863656,64.27459997,52.68297514,16.74287231,64.21859482,51.35100569,49.43359588,76.53710965,58.31533477,73.29527329,108.6061374,147.2346485
1940,60.96664038,27.88175899,61.7616628,50.70151494,17.61461205,79.2350174,48.63829006,58.82622021,95.6145706,56.59301497,63.04904025,135.64059459999999,148.8849444
1941,74.31235756,33.00031275,83.78336947,76.13564849,25.00036239,80.80107919,59.78375903,62.64621844,103.934035,71.82620502,88.70187135,150.695685,146.2664985
